COdigo Departamento,COdigo Municipio,COdigo Centro Poblado,Nombre Departamento,Nombre Municipio,Nombre Centro Poblado,Tipo
05,05001,05001000,ANTIOQUIA,MEDELLIN,MEDELLIN,CM
05,05002,05002000,ANTIOQUIA,ABEJORRAL,ABEJORRAL,CM
05,05004,05004000,ANTIOQUIA,ABRIAQUI,ABRIAQUI,CM
05,05021,05021000,ANTIOQUIA,ALEJANDRIA,ALEJANDRIA,CM
05,05030,05030000,ANTIOQUIA,AMAGA,AMAGA,CM
05,05031,05031000,ANTIOQUIA,AMALFI,AMALFI,CM
05,05034,05034000,ANTIOQUIA,ANDES,ANDES,CM
05,05036,05036000,ANTIOQUIA,ANGELOPOLIS,ANGELOPOLIS,CM
05,05038,05038000,ANTIOQUIA,ANGOSTURA,ANGOSTURA,CM
05,05040,05040000,ANTIOQUIA,ANORI,ANORI,CM
05,05042,05042000,ANTIOQUIA,SANTA FE DE ANTIOQUIA,SANTA FE DE ANTIOQUIA,CM
05,05044,05044000,ANTIOQUIA,ANZA,ANZA,CM
05,05045,05045000,ANTIOQUIA,APARTADO,APARTADO,CM
05,05051,05051000,ANTIOQUIA,ARBOLETES,ARBOLETES,CM
05,05055,05055000,ANTIOQUIA,ARGELIA,ARGELIA,CM
05,05059,05059000,ANTIOQUIA,ARMENIA,ARMENIA,CM
05,05079,05079000,ANTIOQUIA,BARBOSA,BARBOSA,CM
05,05086,05086000,ANTIOQUIA,BELMIRA,BELMIRA,CM
05,05088,05088000,ANTIOQUIA,BELLO,BELLO,CM
05,05091,05091000,ANTIOQUIA,BETANIA,BETANIA,CM
05,05093,05093000,ANTIOQUIA,BETULIA,BETULIA,CM
05,05101,05101000,ANTIOQUIA,CIUDAD BOLIVAR,CIUDAD BOLIVAR,CM
05,05107,05107000,ANTIOQUIA,BRICEÑO,BRICEÑO,CM
05,05113,05113000,ANTIOQUIA,BURITICA,BURITICA,CM
05,05120,05120000,ANTIOQUIA,CACERES,CACERES,CM
05,05125,05125000,ANTIOQUIA,CAICEDO,CAICEDO,CM
05,05129,05129000,ANTIOQUIA,CALDAS,CALDAS,CM
05,05134,05134000,ANTIOQUIA,CAMPAMENTO,CAMPAMENTO,CM
05,05138,05138000,ANTIOQUIA,CAÑASGORDAS,CAÑASGORDAS,CM
05,05142,05142000,ANTIOQUIA,CARACOLI,CARACOLI,CM
05,05145,05145000,ANTIOQUIA,CARAMANTA,CARAMANTA,CM
05,05147,05147000,ANTIOQUIA,CAREPA,CAREPA,CM
05,05148,05148000,ANTIOQUIA,EL CARMEN DE VIBORAL,EL CARMEN DE VIBORAL,CM
05,05150,05150000,ANTIOQUIA,CAROLINA,CAROLINA,CM
05,05154,05154000,ANTIOQUIA,CAUCASIA,CAUCASIA,CM
05,05172,05172000,ANTIOQUIA,CHIGORODO,CHIGORODO,CM
05,05190,05190000,ANTIOQUIA,CISNEROS,CISNEROS,CM
